marker1,marker2,marker3,distance1,distance2,distance3,AAA,AAB,AAH,ABA,ABB,ABH,AHA,AHB,AHH,BAA,BAB,BAH,BBA,BBB,BBH,BHA,BHB,BHH,HAA,HAB,HAH,HBA,HBB,HBH,HHA,HHB,HHH
D1M85,D1M91,D1M98,112.7516779,120.8053691,130.2013423,453,7,140,1,7,3,18,18,118,8,0,1,4,475,141,10,9,114,105,2,33,1,105,43,130,141,912
D1M91,D1M97,D1M98,120.8053691,128.8590604,130.2013423,562,0,29,0,7,0,4,2,145,3,0,1,0,585,23,3,2,163,137,0,11,0,138,4,21,30,1129
D1M94,D1M95,D1M107,124.8322148,126.1744966,142.2818792,451,33,229,0,0,0,4,1,16,0,0,0,27,460,241,7,4,24,17,2,12,1,20,9,195,231,1015
D1M94,D1M95,D1M108,124.8322148,126.1744966,143.6241611,433,36,244,0,0,0,4,1,16,0,0,0,29,442,257,8,4,23,15,2,14,1,19,10,199,246,996
D1M94,D1M95,D1M101,124.8322148,126.1744966,134.2281879,571,13,129,0,0,0,3,0,18,0,0,0,5,568,155,1,0,34,24,1,6,0,26,4,119,148,1174
D1M94,D1M107,D1M108,124.8322148,142.2818792,143.6241611,434,0,21,0,34,0,3,3,239,32,0,2,0,442,22,5,4,256,204,0,9,1,244,8,10,23,1003
D1M94,D1M101,D1M107,124.8322148,134.2281879,142.2818792,441,10,123,0,11,2,14,13,120,6,0,0,7,440,121,21,24,144,104,1,38,3,144,28,106,108,970
D1M94,D1M101,D1M108,124.8322148,134.2281879,143.6241611,422,11,141,0,11,2,15,15,117,6,0,0,8,423,137,23,23,143,101,1,41,3,140,32,111,126,947
D1M95,D1M107,D1M108,126.1744966,142.2818792,143.6241611,445,0,23,0,35,0,3,3,235,26,0,2,0,457,23,4,4,242,199,0,7,1,228,7,11,23,1021
D1M95,D1M101,D1M107,126.1744966,134.2281879,142.2818792,456,10,129,0,12,2,12,13,110,5,0,0,8,460,126,15,20,124,90,1,32,2,123,23,114,112,1000
D1M95,D1M101,D1M108,126.1744966,134.2281879,143.6241611,435,11,149,0,12,2,13,15,107,5,0,0,9,442,143,16,19,124,89,1,33,2,120,26,120,130,976
D1M101,D1M107,D1M108,134.2281879,142.2818792,143.6241611,527,0,24,0,11,0,2,1,158,10,0,0,0,569,26,1,5,145,133,0,8,1,140,4,15,24,1195
D1M104,D1M105,D1M117,138.2550336,139.5973154,155.704698,444,20,218,0,0,0,8,8,21,0,0,0,37,455,230,7,7,27,25,0,13,0,15,7,233,258,966
D1M104,D1M105,D1M118,138.2550336,139.5973154,157.0469799,424,24,234,0,0,0,9,8,20,0,0,0,41,440,241,7,8,26,24,0,14,0,15,7,241,252,964
D1M104,D1M105,D1M111,138.2550336,139.5973154,147.6510067,542,13,127,0,0,0,5,2,30,0,0,0,14,571,137,3,2,36,27,0,11,0,19,3,117,146,1194
D1M104,D1M117,D1M118,138.2550336,155.704698,157.0469799,430,0,22,0,28,0,3,4,232,41,0,3,1,444,17,6,4,247,243,0,15,0,258,15,22,9,955
D1M104,D1M111,D1M117,138.2550336,147.6510067,155.704698,439,3,105,0,11,4,13,14,130,15,0,2,7,445,121,22,17,134,128,1,15,3,141,21,127,131,950
D1M104,D1M111,D1M118,138.2550336,147.6510067,157.0469799,418,6,123,0,11,4,15,15,127,14,0,3,11,429,133,23,19,131,122,1,21,3,133,29,140,133,935
D1M105,D1M117,D1M118,139.5973154,155.704698,157.0469799,446,0,23,0,20,0,2,4,225,34,0,3,1,452,17,6,3,228,234,0,14,0,258,15,23,10,981
D1M105,D1M111,D1M117,139.5973154,147.6510067,155.704698,458,3,108,0,9,4,11,8,119,12,0,2,7,457,126,18,13,109,112,1,12,3,131,16,133,141,986
D1M105,D1M111,D1M118,139.5973154,147.6510067,157.0469799,436,6,127,0,9,4,12,9,117,11,0,3,11,441,138,19,14,107,107,1,17,3,123,24,147,144,969
D1M111,D1M117,D1M118,147.6510067,155.704698,157.0469799,553,0,29,0,4,0,1,3,118,9,0,1,1,571,25,4,2,140,152,0,10,0,155,7,26,12,1176
D1M114,D1M115,D1M127,151.6778523,153.0201342,169.1275168,479,22,216,0,0,0,1,3,14,0,0,0,30,457,226,4,3,21,23,1,12,4,27,4,241,213,998
D1M114,D1M115,D1M128,151.6778523,153.0201342,170.4697987,462,27,228,0,0,0,1,3,14,0,0,0,32,444,237,4,3,21,23,2,11,4,28,3,250,227,975
D1M114,D1M115,D1M121,151.6778523,153.0201342,161.0738255,584,7,126,0,0,0,0,1,17,0,0,0,12,555,146,2,7,19,30,0,6,1,29,5,147,127,1178
D1M114,D1M127,D1M128,151.6778523,169.1275168,170.4697987,461,0,19,0,25,0,2,5,223,33,0,1,0,443,17,3,4,240,260,0,8,0,233,8,17,24,973
D1M114,D1M121,D1M127,151.6778523,161.0738255,169.1275168,465,9,110,0,4,4,15,12,116,10,1,3,5,446,111,19,13,133,142,3,33,4,124,28,122,114,953
D1M114,D1M121,D1M128,151.6778523,161.0738255,170.4697987,447,14,123,0,4,4,16,12,115,10,1,3,5,430,127,21,16,128,138,4,36,4,122,30,135,131,923
D1M115,D1M127,D1M128,153.0201342,169.1275168,170.4697987,483,0,19,0,23,0,2,6,220,33,0,1,0,467,17,3,5,222,238,0,8,0,211,8,17,22,994
D1M115,D1M121,D1M127,153.0201342,161.0738255,169.1275168,488,10,116,0,3,4,14,10,108,9,1,3,6,470,108,19,13,119,120,2,27,3,101,31,123,116,975
D1M115,D1M121,D1M128,153.0201342,161.0738255,170.4697987,470,16,128,0,3,4,15,10,107,9,1,3,6,454,124,21,17,113,116,2,31,3,99,33,136,132,946
D1M121,D1M127,D1M128,161.0738255,169.1275168,170.4697987,593,0,24,0,13,0,2,6,138,8,0,1,0,554,20,1,2,140,153,0,3,0,134,5,19,25,1158
D1M124,D1M125,D1M137,165.1006711,166.442953,182.5503356,481,37,231,0,0,0,4,10,18,0,0,0,29,444,231,6,2,16,16,1,12,4,22,5,227,245,958
D1M124,D1M125,D1M138,165.1006711,166.442953,183.8926174,472,39,238,0,0,0,4,10,18,0,0,0,32,427,245,7,2,15,16,0,13,4,21,6,241,266,923
D1M124,D1M125,D1M131,165.1006711,166.442953,174.4966443,609,9,131,0,0,0,4,6,22,0,0,0,12,549,143,2,0,22,20,1,8,1,27,3,133,155,1142
D1M124,D1M137,D1M138,165.1006711,182.5503356,183.8926174,471,0,14,0,44,3,5,5,239,34,0,1,0,425,21,5,4,238,242,0,5,0,257,11,19,30,926
D1M124,D1M131,D1M137,165.1006711,174.4966443,182.5503356,472,10,131,0,14,1,13,23,117,11,0,3,7,430,112,17,16,132,127,0,27,1,148,34,119,120,914
D1M124,D1M131,D1M138,165.1006711,174.4966443,183.8926174,462,12,139,0,13,2,14,24,115,11,1,2,9,411,129,19,17,129,123,0,31,2,142,39,136,145,872
D1M125,D1M137,D1M138,166.442953,182.5503356,183.8926174,483,0,14,0,34,4,5,5,233,32,0,1,0,444,22,4,4,228,232,0,5,0,248,9,20,30,942
D1M125,D1M131,D1M137,166.442953,174.4966443,182.5503356,485,10,134,0,9,1,12,19,108,10,0,3,8,452,116,15,14,117,115,0,24,0,131,30,122,126,938
D1M125,D1M131,D1M138,166.442953,174.4966443,183.8926174,475,12,142,0,7,3,13,20,106,10,1,2,10,432,134,16,15,115,111,0,28,1,127,33,140,151,895
D1M131,D1M137,D1M138,174.4966443,182.5503356,183.8926174,592,0,18,0,10,0,4,3,154,8,0,0,0,564,28,3,2,142,147,0,2,0,152,7,22,34,1107
D1M134,D1M135,D1M147,178.5234899,179.8657718,195.9731544,493,29,202,0,0,0,4,3,34,0,0,1,22,469,233,3,3,23,24,0,7,2,18,8,222,257,942
D1M134,D1M135,D1M148,178.5234899,179.8657718,197.3154362,472,28,224,0,0,0,5,3,33,0,0,1,24,454,246,3,3,23,23,0,8,2,19,7,233,270,918
D1M134,D1M135,D1M141,178.5234899,179.8657718,187.9194631,594,12,118,0,0,0,5,1,35,1,0,0,7,573,144,2,2,25,29,0,2,1,20,7,136,160,1125
D1M134,D1M147,D1M148,178.5234899,195.9731544,197.3154362,472,0,25,0,30,2,5,1,230,22,0,3,0,454,18,5,3,249,240,0,8,0,265,10,18,24,915
D1M134,D1M141,D1M147,178.5234899,187.9194631,195.9731544,481,10,108,0,10,3,16,12,125,9,0,1,4,455,116,12,17,140,140,0,26,1,148,31,107,127,900
D1M134,D1M141,D1M148,178.5234899,187.9194631,197.3154362,456,10,133,0,9,4,21,12,120,9,0,1,7,437,131,11,20,138,136,0,30,2,142,36,120,147,867
D1M135,D1M147,D1M148,179.8657718,195.9731544,197.3154362,491,0,26,0,27,2,4,1,205,21,0,3,0,470,17,5,3,233,222,0,7,0,252,11,19,24,956
D1M135,D1M141,D1M147,179.8657718,187.9194631,195.9731544,502,10,112,0,9,3,15,10,95,8,0,0,4,471,118,12,16,123,120,0,23,1,133,29,108,130,947
D1M135,D1M141,D1M148,179.8657718,187.9194631,197.3154362,476,10,138,0,8,4,19,10,91,8,0,0,7,454,132,11,19,121,117,0,26,2,126,35,122,150,913
D1M141,D1M147,D1M148,187.9194631,195.9731544,197.3154362,601,0,29,0,9,1,0,1,134,4,0,1,0,587,26,5,1,144,129,0,6,0,153,3,23,26,1116
